,1819 - Fall Semester,,,,,,,,,,,,,,1819 - Spring Semester,,,,,,,,,,,,,1920 - Summer Semester,,,,,,,,,,,1920 - Fall Semester,,,,,,,,,,,,,,,1920 - Spring Semester,,,,,,,,,,,,2021 - Summer Semester,,,,,,,,,,2021 - Fall Semester,,,,,,,,,,,2021 - Spring Semester,,,,,,,,,,2122 - Summer Quarter,,,2122 - Fall Quarter,,,2122 - Winter Quarter,,,2122 - Spring Quarter,,,NBEO First Time Pass Rate,,,,,
,7030,7101,7103,7105,7106,7400,7503,7505,7701,8630,8640,Term,Cum,,7130,7405,7406,7407,7408,7504,7506,7600,8631,8641,Term,Cum,,7131,7340,7409,7410,7601,7730,8632,8642,Term,Cum,,7109,7140,7341,7402,7404,7500,7507,7602,7732,8530,8635,8643,Term,Cum,,7141,7232,7350,7414,7603,7734,8500,8531,8644,Term,Cum,,7320,7342,7351,7424,7736,8532,8645,Term,Cum,,7300,7301,7321,7343,7737,8501,8636,8646,Term,Cum,,7502,7508,7509,7710,8540,8647,8800,Term,Cum,,8801,Cum,,8802,Cum,,8803,Cum,,8804,Cum,,,,,,,
#,2,1.5,2,1,2.5,2.5,1,1.5,1,2,0.5,,,,2,2.5,2,1,1.5,1.5,1.5,1,3.5,0.5,,,,1,1.5,1,1,2,1,1.5,1.5,,,,1,1.5,2.5,2,1.5,1,1,1.5,1,1.5,2.5,1,,,,1,1,2.5,1,1.5,1,2.5,1.5,5.5,,,,2,1.5,1.5,1,1,1.5,5,,,,1.5,1,2.5,2.5,1,2.5,1,6,,,,1,2,2.5,1,2,2.5,5.5,,,,9.5,,,9.5,,,9.5,,,9.5,,,Part I,Part I x 2,Part I x 3,Part I x 4,Part II,Part III
88817,A-,D+,B-,C+,B-,B-,C+,A-,A-,C+,P,2.74,2.74,,B,C,B,C+,A,B,B+,A-,C+,P,2.81,2.78,,B+,B,B+,B-,A,P,B,P+,3.28,2.87,,B-,C+,C+,B+,C,A-,B+,B,P,A-,C+,P,2.76,2.84,,B,B+,A-,C-,B,P,A-,A-,P,3.32,2.92,,B-,B,B+,B-,P,B,P,2.94,2.92,,A-,B,B,B-,P,B,B,P+,3.02,2.93,,P,A,A-,A,P,P+,P+,3.68,2.98,,P,2.98,,H,2.98,,H,2.98,,H,2.98,,445,,,,507,611
84389,A-,C+,B-,C-,B-,C,C,A-,A,C,P,2.66,2.66,,B-,C,B-,B,A,B,B,B+,B+,P,2.94,2.8,,A,B-,B,B,B+,P,B,P+,3.14,2.86,,B-,C+,B,B+,B-,A,A,A,P,B+,B-,P,3.12,2.94,,B,A-,B+,C+,B,P,B,A,P,3.2,2.98,,A-,C,A-,C,P,B+,P,3.05,2.98,,A,A-,B,B-,P,A,B-,P+,3.33,3.03,,P,B,C+,A,P,P+,H,2.86,3.02,,H,3.02,,H,3.02,,H,3.02,,H,3.02,,546,,,,478,504
92848,A-,A,A,A,A-,A-,B,A,A,A-,P,3.78,3.78,,B+,A,B+,B+,A,B+,A,A,B-,P,3.44,3.61,,A,B-,A,A-,A,P,B-,P,3.47,3.59,,B-,B,B,A,A-,A,A,A-,P,B+,C+,P,3.28,3.5,,B+,A,B+,B+,A-,P,A-,B+,P,3.5,3.5,,A,A-,B+,A-,P,A-,P,3.7,3.52,,A,A,A,A-,P,A,A,P,3.93,3.57,,P,A,A,A-,P,P,P,3.94,3.59,,H,3.59,,H,3.59,,H,3.59,,H,3.59,,659,,,,485,533
94634,A,B,C+,A-,B+,C-,A,A,A,B+,P,3.17,3.17,,A-,B,C+,B,A,B-,A-,B+,C,P,2.93,3.05,,A,B,B,D+,B+,P,C+,P+,2.85,3.01,,C+,C-,C-,B+,D,A-,B,A-,P,B,C,P,2.43,2.85,,B+,C+,C-,C+,C+,P,A-,B-,P,2.62,2.81,,B,C-,B-,D+,P,B+,P,2.51,2.78,,A-,B,B+,C,P,B,B,P,2.93,2.8,,P,A-,B-,B+,P,P,P,3.17,2.82,,P,2.82,,H,2.82,,H,2.82,,P,2.82,,100,100,,,100,100
84352,C+,C,C,B-,C,C,B+,A,C,B,P,2.44,2.44,,C+,C-,C+,C+,A-,B-,B,C-,B-,P,2.48,2.46,,B,B,B-,C-,B,P,C+,P,2.66,2.5,,C,D+,C+,B-,D,B+,B,C+,P,C+,F,P,1.86,2.32,,B-,B,B-,C-,C-,P,B+,B,P,2.6,2.46,,C,C+,C,B-,P,B,P,2.35,2.45,,A,C+,C+,C+,P,B,C+,P,2.69,2.48,,P,B,C+,B+,P,P,P+,2.73,2.5,,P,2.5,,P,2.5,,P,2.5,,P,2.5,,369,,,,392,447
60240,B+,D+,C,B+,B,C,B-,C,B+,C,P,2.43,2.43,,B+,C,B,B,A,B-,B+,B,C,P,2.76,2.59,,A,B-,B-,D+,A-,P,B-,H,2.93,2.66,,B-,B-,C+,C+,C-,C-,B,C+,P,A,C-,P,2.37,2.58,,A-,B,C,C,C,P,B+,B-,P,2.63,2.59,,B,C,C+,C,P,B+,P,2.58,2.59,,A-,B+,C,B,P,C,B,P+,2.66,2.6,,P,A-,C+,A,P,P+,P+,3.11,2.63,,H,2.63,,H,2.63,,H,2.63,,H,2.63,,155,218,300,,330,344
94222,A,C-,C,B+,C+,C+,B,A-,B+,B-,P,2.74,2.74,,A,B,B,B+,A,B-,B,A-,B,P,3.24,2.98,,A,B+,B-,B,A-,P,B+,P,3.37,3.06,,B-,B+,B,B+,A-,B+,A,B,P,B+,B,P,3.22,3.1,,A-,A-,A,B+,B,P,A,A-,P,3.7,3.2,,B+,B+,B+,B-,P,B+,P,3.22,3.2,,A,A-,A,A-,P,B+,B+,P,3.68,3.26,,P,A-,A-,A,P,P,P,3.75,3.29,,P,3.29,,H,3.29,,H,3.29,,H,3.29,,489,,,,507,666
90023,A,B-,B,A,A,A-,A-,A-,A,B-,P,3.52,3.52,,A,A-,A-,B+,C-,A,A,A,B,P,3.45,3.49,,A,B+,B+,B+,A,P,B+,H,3.56,3.5,,A,A-,B+,A,B+,A,A,A-,P,A-,B,P,3.58,3.52,,A-,A,A-,B+,B+,P,A,A,P,3.74,3.56,,A-,B,A-,B,P,B+,P,3.38,3.54,,A,A,A-,B,P,A,A-,P+,3.67,3.56,,P,A-,A,B+,P,P+,P+,3.76,3.57,,H,3.57,,H,3.57,,H,3.57,,H,3.57,,609,,,,626,504
