,,1819 - Fall Semester,,,,,,,,,,,,,,1819 - Spring Semester,,,,,,,,,,,,,1920 - Summer Semester,,,,,,,,,,,1920 - Fall Semester,,,,,,,,,,,,,,,1920 - Spring Semester,,,,,,,,,,,,2021 - Summer Semester,,,,,,,,,,2021 - Fall Semester,,,,,,,,,,,2021 - Spring Semester,,,,,,,,,,2122 - Summer Quarter,,,2122 - Fall Quarter,,,2122 - Winter Quarter,,,2122 - Spring Quarter,,,NBEO First Time Pass Rate,,,,,
,Year,7030-FA1,7101-FA1,7103-FA1,7105-FA1,7106-FA1,7400-FA1,7503-FA1,7505-FA1,7701-FA1,8630-FA1,8640-FA1,Term,Cum,,7130-SP1,7405-SP1,7406-SP1,7407-SP1,7408-SP1,7504-SP1,7506-SP1,7600-SP1,8631-SP1,8641-SP1,Term,Cum,,7131-SU2,7340-SU2,7409-SU2,7410-SU2,7601-SU2,7730-SU2,8632-SU2,8642-SU2,Term,Cum,,7109-FA2,7140-FA2,7341-FA2,7402-FA2,7404-FA2,7500-FA2,7507-FA2,7602-FA2,7732-FA2,8530-FA2,8635-FA2,8643-FA2,Term,Cum,,7141-SP2,7232-SP2,7350-SP2,7414-SP2,7603-SP2,7734-SP2,8500-SP2,8531-SP2,8644-SP2,Term,Cum,,7320-SU3,7342-SU3,7351-SU3,7424-SU3,7736-SU3,8532-SU3,8645-SU3,Term,Cum,,7300-FA3,7301-FA3,7321-FA3,7343-FA3,7737-FA3,8501-FA3,8636-FA3,8646-FA3,Term,Cum,,7502-SP3,7508-SP3,7509-SP3,7710-SP3,8540-SP3,8647-SP3,8800-SP3,Term,Cum,,8801-SU4,Cum,,8802-SU4,Cum,,8803-FA4,Cum,,8804-SP4,Cum,,,,,,,
#,,2,1.5,2,1,2.5,2.5,1,1.5,1,2,0.5,,,,2,2.5,2,1,1.5,1.5,1.5,1,3.5,0.5,,,,1,1.5,1,1,2,1,1.5,1.5,,,,1,1.5,2.5,2,1.5,1,1,1.5,1,1.5,2.5,1,,,,1,1,2.5,1,1.5,1,2.5,1.5,5.5,,,,2,1.5,1.5,1,1,1.5,5,,,,1.5,1,2.5,2.5,1,2.5,1,6,,,,1,2,2.5,1,2,2.5,5.5,,,,9.5,,,9.5,,,9.5,,,9.5,,,Part I,Part I x 2,Part I x 3,Part I x 4,Part II,Part III
88817,2022,A-,D+,B-,C+,B-,B-,C+,A-,A-,C+,P,2.74,2.74,,B,C,B,C+,A,B,B+,A-,C+,P,2.81,2.78,,B+,B,B+,B-,A,P,B,P+,3.28,2.87,,B-,C+,C+,B+,C,A-,B+,B,P,A-,C+,P,2.76,2.84,,B,B+,A-,C-,B,P,A-,A-,P,3.32,2.92,,B-,B,B+,B-,P,B,P,2.94,2.92,,A-,B,B,B-,P,B,B,P+,3.02,2.93,,P,A,A-,A,P,P+,P+,3.68,2.98,,P,2.98,,H,2.98,,H,2.98,,H,2.98,,445,,,,507,611
84389,2022,A-,C+,B-,C-,B-,C,C,A-,A,C,P,2.66,2.66,,B-,C,B-,B,A,B,B,B+,B+,P,2.94,2.8,,A,B-,B,B,B+,P,B,P+,3.14,2.86,,B-,C+,B,B+,B-,A,A,A,P,B+,B-,P,3.12,2.94,,B,A-,B+,C+,B,P,B,A,P,3.2,2.98,,A-,C,A-,C,P,B+,P,3.05,2.98,,A,A-,B,B-,P,A,B-,P+,3.33,3.03,,P,B,C+,A,P,P+,H,2.86,3.02,,H,3.02,,H,3.02,,H,3.02,,H,3.02,,546,,,,478,504
92848,2022,A-,A,A,A,A-,A-,B,A,A,A-,P,3.78,3.78,,B+,A,B+,B+,A,B+,A,A,B-,P,3.44,3.61,,A,B-,A,A-,A,P,B-,P,3.47,3.59,,B-,B,B,A,A-,A,A,A-,P,B+,C+,P,3.28,3.5,,B+,A,B+,B+,A-,P,A-,B+,P,3.5,3.5,,A,A-,B+,A-,P,A-,P,3.7,3.52,,A,A,A,A-,P,A,A,P,3.93,3.57,,P,A,A,A-,P,P,P,3.94,3.59,,H,3.59,,H,3.59,,H,3.59,,H,3.59,,659,,,,485,533
94634,2022,A,B,C+,A-,B+,C-,A,A,A,B+,P,3.17,3.17,,A-,B,C+,B,A,B-,A-,B+,C,P,2.93,3.05,,A,B,B,D+,B+,P,C+,P+,2.85,3.01,,C+,C-,C-,B+,D,A-,B,A-,P,B,C,P,2.43,2.85,,B+,C+,C-,C+,C+,P,A-,B-,P,2.62,2.81,,B,C-,B-,D+,P,B+,P,2.51,2.78,,A-,B,B+,C,P,B,B,P,2.93,2.8,,P,A-,B-,B+,P,P,P,3.17,2.82,,P,2.82,,H,2.82,,H,2.82,,P,2.82,,100,100,,,100,100
84352,2022,C+,C,C,B-,C,C,B+,A,C,B,P,2.44,2.44,,C+,C-,C+,C+,A-,B-,B,C-,B-,P,2.48,2.46,,B,B,B-,C-,B,P,C+,P,2.66,2.5,,C,D+,C+,B-,D,B+,B,C+,P,C+,F,P,1.86,2.32,,B-,B,B-,C-,C-,P,B+,B,P,2.6,2.46,,C,C+,C,B-,P,B,P,2.35,2.45,,A,C+,C+,C+,P,B,C+,P,2.69,2.48,,P,B,C+,B+,P,P,P+,2.73,2.5,,P,2.5,,P,2.5,,P,2.5,,P,2.5,,369,,,,392,447
60240,2022,B+,D+,C,B+,B,C,B-,C,B+,C,P,2.43,2.43,,B+,C,B,B,A,B-,B+,B,C,P,2.76,2.59,,A,B-,B-,D+,A-,P,B-,H,2.93,2.66,,B-,B-,C+,C+,C-,C-,B,C+,P,A,C-,P,2.37,2.58,,A-,B,C,C,C,P,B+,B-,P,2.63,2.59,,B,C,C+,C,P,B+,P,2.58,2.59,,A-,B+,C,B,P,C,B,P+,2.66,2.6,,P,A-,C+,A,P,P+,P+,3.11,2.63,,H,2.63,,H,2.63,,H,2.63,,H,2.63,,155,218,300,,330,344
94222,2022,A,C-,C,B+,C+,C+,B,A-,B+,B-,P,2.74,2.74,,A,B,B,B+,A,B-,B,A-,B,P,3.24,2.98,,A,B+,B-,B,A-,P,B+,P,3.37,3.06,,B-,B+,B,B+,A-,B+,A,B,P,B+,B,P,3.22,3.1,,A-,A-,A,B+,B,P,A,A-,P,3.7,3.2,,B+,B+,B+,B-,P,B+,P,3.22,3.2,,A,A-,A,A-,P,B+,B+,P,3.68,3.26,,P,A-,A-,A,P,P,P,3.75,3.29,,P,3.29,,H,3.29,,H,3.29,,H,3.29,,489,,,,507,666
90023,2022,A,B-,B,A,A,A-,A-,A-,A,B-,P,3.52,3.52,,A,A-,A-,B+,C-,A,A,A,B,P,3.45,3.49,,A,B+,B+,B+,A,P,B+,H,3.56,3.5,,A,A-,B+,A,B+,A,A,A-,P,A-,B,P,3.58,3.52,,A-,A,A-,B+,B+,P,A,A,P,3.74,3.56,,A-,B,A-,B,P,B+,P,3.38,3.54,,A,A,A-,B,P,A,A-,P+,3.67,3.56,,P,A-,A,B+,P,P+,P+,3.76,3.57,,H,3.57,,H,3.57,,H,3.57,,H,3.57,,609,,,,626,504
93864,2022,A-,B-,B,B,A,A-,A,A-,A,A-,P,3.56,3.56,,B+,A,A,C+,A-,A,A,A,B,P,3.57,3.57,,A,B+,B,B+,A-,P,A-,H,3.52,3.56,,B-,B+,A-,A-,B+,A,A,A,P,B+,B,P,3.48,3.53,,A,A-,B,B+,B,P,A-,A-,P,3.43,3.52,,B,B,B+,B-,P,A,P,3.22,3.49,,A,A-,A-,A-,P,B+,B,H,3.58,3.5,,P,B+,B+,B,P,H,H,3.24,3.48,,H,3.48,,H,3.48,,H,3.48,,H,3.48,,529,,,,625,442
93146,2022,A,B-,B,A,A,B+,B-,A,A,B,P,3.47,3.47,,A,A-,A,A,A,B+,A-,A,B,P,3.65,3.55,,A,A-,A,B+,A,P,B+,H,3.72,3.59,,B,B+,B+,B+,B+,A-,A,B+,P,A,B-,P,3.32,3.51,,A,A-,B+,B-,A-,P,A,A-,P,3.61,3.53,,B,A-,B+,B,P,A,P,3.4,3.51,,A,A,B+,A-,P,A-,A-,H,3.67,3.53,,P,A,A-,B,P,H,H,3.68,3.54,,H,3.54,,H,3.54,,H,3.54,,P,3.54,,489,,,,478,568
